,Sentiment,Negative_Reason,Airline,Text,TextLength
11468,negative,Customer Service Issue,US Airways,Spend 1 HOUR on hold with  .,38
177,positive,,Virgin America, Thank you for the follow,39
6495,neutral,,Southwest," I know it is hard to predict, but how are flights from Dallas to Nashville tomorrow AM?",101
870,neutral,,United,Need more info on that! :  We have great amenity kits. PJ's not included. We status match AA. ^KPï¿½,118
7686,neutral,,Delta,Can You please help to save my daughters life  for details Go here ,88
8277,positive,,Delta,  JetBlue never disappoints !,41
12123,negative,Late Flight,American," continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.",127
14579,negative,Customer Service Issue,American," your call center won't let me wait on hold, which I would happily do. Am I seriously supposed to just keep calling? Not great",138
11407,negative,Cancelled Flight,US Airways," so mad I can't even believe  you guys Cancelled Flight my connecting flight after I leave the first stop, &amp; give me a useless hotel voucher",154
242,neutral,,Virgin America, spruce moose!,28
6904,neutral,,Delta,ýýý: Our fleet's on fleek. http://t.co/BBM6PAbORtýýý &lt;&lt;Now THAT is fuckin funny. ýýýý,92
5793,negative,Late Flight,Southwest, after 4 hours of delays you did make a nice offer for rescheduling me the next day... but...,106
7817,negative,Customer Service Issue,Delta, why wouldn't you just credit it right to my account instead of having a separate sign on. That seems pretty ridiculous.,128
8793,negative,Bad Flight,Delta," so I'm penalized for packing lightly, having 1 bag and paying extra for a seat?",88
5211,negative,Can't Tell,Southwest, the ball has been dropped. My snowboard will not be making it to my destination. #totalfail #letdown,114
3334,positive,,United, Thank you.,18
4360,neutral,,Southwest," oh, is it only in Atlanta?",40
15,positive,,Virgin America, Thanks!,22
1395,negative,Cancelled Flight,United," This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?",147
1894,negative,Customer Service Issue,United, two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain,115
9932,neutral,,US Airways, Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.,126
2809,positive,,United, thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!,138
2235,neutral,,United," do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?",140
4915,negative,Lost Luggage,Southwest," should get their shit together before they owe my $2,000 for my bag.",82
11313,negative,Lost Luggage,US Airways, being told 'tough break and this is how it is' is unacceptable. You can't even tell me when my bags will be here,123
4340,neutral,,Southwest, once again on Glassdoor's Best Places To Work snagging # 15 overall #notsurprising #LUVthem,105
7277,negative,Late Flight,Delta, didn't work. Fly-fi plus couldn't access ABC app. So I spent $19 and still missed Oscars. #disappointed,112
13051,positive,,American, welcome anyone who works in those conditions deserves a thank you even though I am other side of #Atlantic lol xx,126
6748,neutral,,Delta, I hope so because I fly very often and would hate to change airlines.,78
674,negative,Flight Attendant Complaints,United, are the ones who make it difficult for me.,50
8267,negative,Customer Service Issue,Delta," you service agents at MCO are great, but their are not enough of them working right now!",97
247,positive,,Virgin America, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,110
7737,positive,,Delta, is the best!  Can't wait to use my travel bank $ for a FUN trip.,73
10131,negative,Late Flight,US Airways,"   U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL",118
4411,negative,Bad Flight,Southwest, freezing in the plane,35
6375,positive,,Southwest, A wonderfully nice agent in Austin helped us out. Wish I remembered her name to give proper kudos.,112
1509,neutral,,United,  rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need,137
13744,negative,Cancelled Flight,American," Flight Cancelled Flightled, website refers to 1-800#, the 1-800# hangs up on me. Not auto-rebooked. Really? Horrible company.",138
6552,negative,Customer Service Issue,Southwest, Having some trouble checking in. Can you please add me so I can DM you,84
8530,neutral,,Delta," Left my coat on flight 453 this morning in overhead bin.  Reported seat 12A, but I was 11A.  Thx.  Ticket 2792125083854",128
6727,negative,Customer Service Issue,Southwest, can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.,115
5773,negative,Cancelled Flight,Southwest, I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.,150
818,negative,Lost Luggage,United, Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery,138
12930,negative,Customer Service Issue,American, Can't help now as all seats have been taken.  There has to be a way to handle high volume of call days.,116
7091,positive,,Delta,ýýý: Our fleet's on fleek. http://t.co/3kVkd8yRxaýýý + lol wow,66
10378,negative,Customer Service Issue,US Airways, how do I get thru on hold 3 hours 5 minutes . Is this normal ? My call is lost,89
11322,negative,Can't Tell,US Airways, Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,131
13710,negative,Cancelled Flight,American, wasn't offered a flight out of PHL until TUESDAY so had to ask to be booked to Houston instead of Austin.,118
3169,negative,Can't Tell,United, any solutions?,22
2231,neutral,,United, It appears there are six flights to Calgary tomorrow is this correct?,77
11765,negative,Late Flight,US Airways," can you please DM me, my flight has been delayed going into CLT which will force me to miss my connection to LGA at 10:05pm",134
10582,negative,Customer Service Issue,US Airways, Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful,140
4528,neutral,,Southwest, reference #: 261093929756,39
2823,neutral,,United, dmangen.com,38
11580,negative,Flight Attendant Complaints,US Airways," this day has been a disaster, rude employees, no help &amp; now no hotel. not flying with you again &amp; I fly ALOT! Dallas=raise=now!",146
1247,positive,,United, Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!,139
7678,positive,,Delta,  Your airline sounds outstanding and your Twitter feed is clearly extremely useful. Keep up the great work ï¿½ï,130
10544,negative,Bad Flight,US Airways, the American Eagle plane you're using for CLT to RDU is disgusting! You should be ashamed! #disgusting #ew http://t.co/B4xhiRuGzV,140
9742,negative,Customer Service Issue,US Airways, So far....my phone wait time is longer than 's #Oscars coverage. #WhatCustomerService,107
10394,negative,Late Flight,US Airways," delayed in philly since 130, sitting onTarmac since 8pm flight 1881 plz contact donaldaroberts1.com",116
3675,positive,,United,  done thnx,29
7215,positive,,Delta, thanks,15
2519,negative,Late Flight,United," if you're going to Cancelled Flight flights today, do everyone a favor and get on it now. Don't stall the inevitable.",125
9738,negative,Customer Service Issue,US Airways," - how do I get an answer to my question?  Holding for hours , after 6x getting your message just said you aren't taking calls.",137
9320,negative,Cancelled Flight,US Airways," do you operate ANY flights without maintenance issues? Flights in/out of DCA Cancelled Flighted, this is getting old. Update fleet pls!",146
294,positive,,Virgin America, would love to do more for virgin just like I do for ,73
13582,negative,Customer Service Issue,American, #worstcustservice you should have contingency plans for extra workers during bad weather. 4+ hours hold #ridiculous,128
12412,negative,Flight Booking Problems,American," having trouble Flight Booking Problems a seat on US84 11 March, operated by AA. Neither airline's website will allow seat selection?",145
1419,negative,Late Flight,United, does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter,127
5451,negative,Lost Luggage,Southwest," Landed an hour Late Flight from IND to DEN, and 40+ min Late Flightr, our bags are not here. Not cool.",116
5411,neutral,,Southwest, Flight 4315 (N231WN) taxis at  prior to flight to  http://t.co/IDRa8keNoH,108
441,positive,,Virgin America, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ is flying from Love to Austin now. That,80
9777,negative,Customer Service Issue,US Airways,  how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them,123
6996,neutral,,Delta,ýýý: Our fleet's on fleek. http://t.co/pr3OeBC2N2ýýý lol wut?,65
5121,negative,Lost Luggage,Southwest,  no such thing as a free flight. Gonna be spending $100 on board rental bc #swa couldn't get my baggage to greenville w me.,137
8735,negative,Can't Tell,Delta, I hope your system wasn't hacked cause someone else's passport info was on my reservation &amp; I couldn't get my boarding pass,136
13082,negative,Lost Luggage,American," ""bag has not yet been located"". Again, 5th time I've checked it. How can tracking my bag be this hard for your system?",131
13673,negative,Cancelled Flight,American, my flight tomorrow is Cancelled Flighted you guys just keep letting me down,88
3984,negative,Lost Luggage,United, Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday! #wontflyagainwithyou,138
5550,negative,Customer Service Issue,Southwest, are you guys alive? i've been on hold for 25 minutes and counting.....,84
2971,neutral,,United, Do miles earned with Explorer card count toward lifetime miles?,71
725,negative,Flight Attendant Complaints,United," nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room...",138
1710,negative,Customer Service Issue,United, Lied to my face at the gate about upgrades. Thanks. #badservice #unitedsucks,84
259,positive,,Virgin America,", you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",137
712,negative,Customer Service Issue,United, terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.,136
5312,negative,Flight Attendant Complaints,Southwest," because according to the flight attendant my husband doesn't talk english, when the fact is that he understand and talks it",137
6762,neutral,,Delta, Ok and in Dominican Republic what numbers?,51
1040,negative,Lost Luggage,United," Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD",139
3884,negative,Late Flight,United, delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?,135
1233,neutral,,United, to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek,127
1915,negative,Customer Service Issue,United, 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad,140
11978,positive,,American, awesome. Thanks!,29
14231,neutral,,American," Do you happen to know if that plane will be repainted, or fly ""off into the sunset?""",97
4475,negative,Customer Service Issue,Southwest, why is customer relations still not open....in Texas?!,68
2142,negative,Late Flight,United, the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.,138
12611,neutral,,American, follow me back so I can DM you guys,48
9739,negative,Bad Flight,US Airways, why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning,136
10154,negative,Can't Tell,US Airways, u guys suck,22
2529,negative,Customer Service Issue,United, while busy on his cell phone ???,40
7467,negative,Lost Luggage,Delta, your agent told us TSA didn't have a crew to get bags!,63
1061,neutral,,United,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? ,138
11248,negative,Flight Booking Problems,US Airways, cardholder is flying.  We both have us airways and advantage cards which is more frustrating.,104
2448,negative,Can't Tell,United,"Meanwhile, they fucked my flight. : The festivities are already in full swing at the United Fairway Club, overlooking the 17th hole..",140
6424,negative,Cancelled Flight,Southwest, what are the chances you will be Cancelled Flighting all flights in and out of Nashville again?,109
7572,negative,Can't Tell,Delta, That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.,144
9399,neutral,,US Airways," It's 838. We boarded and we are waiting now to take off, hopefully.",78
13199,negative,Customer Service Issue,American," Well if you won't let me handle my reservation/change online, &amp; your Reservation call # hangs up on me wtf do I do?? Bullshit.",143
6972,neutral,,Delta,OMGee!!!  #OnFleek Why  Why?!? ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,99
2917,positive,,United, The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.,133
4171,positive,,United," done just now, thanks.",30
819,neutral,,United, an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,139
13426,positive,,American, ok thank you. What if I can't get a hold of someone to get a new flight?,85
6128,neutral,,Southwest, Thanks!!! :)  It is good to air on the side of caution,68
626,neutral,,United, So do I need to book two one ways in order for her to fly as an unaccompanied minor?,92
6568,negative,Customer Service Issue,Southwest, I just sent it over,33
13463,neutral,,American, do you know if there is wifi on this flight? If so how much is it? Thank you :-),93
650,negative,Can't Tell,United, I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.,123
11482,negative,Can't Tell,US Airways," new tag line ""but we got you there alive!""",53
4424,neutral,,Southwest, unfortunately I don't even have that. My phone died before o had a chance to grab it. It was from OMA to SAN from 3/27-4/2,136
4918,negative,Can't Tell,Southwest, I'm gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it!!!,117
12552,negative,Can't Tell,American, is the worst airline in the entire world. I only flew them because I had to and it was the nightmare I knew it would be.,133
8555,positive,,Delta, Done! Also looks like you opened some up on my flight to Vegas on Sunday! ï¿½ï,84
7712,neutral,,Delta, I flew on a flight about 3 months ago. Me and my girlfriend got away with having sex in a restroom. Is it allowed now?,127
13769,negative,Customer Service Issue,American, DFW GATE 16 to BMI agent seriously is beyond incompetent.  Never flying AA again if can be avoided #fail #pathetic,127
946,negative,Customer Service Issue,United, has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,140
8795,negative,Bad Flight,Delta, the TV. Wifi was spotty. It's just a nice feature for a X country flight. Still won't keep us away #lovejetblue,120
12117,negative,Customer Service Issue,American," Its not that I wasn't offered ""perks"" by .  I ASKED and was told, ""NO."" #thenewamerican",110
561,negative,Late Flight,United, A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable,140
9476,negative,Customer Service Issue,US Airways, is there a # or a time bracket I can call to fix this problem?I've been attempting to fix this contact information issue for days,140
11877,negative,Customer Service Issue,US Airways, reservations had me on hold for 2 hours only to hang up...smh ï¿½ï,74
8814,negative,Late Flight,Delta, insane the craziness I've seen with Jet Blue today at Newark Delayed 3 hours and now we are waiting for a Pilot!! #jetblue,131
10937,negative,Late Flight,US Airways, this is a complete waste of my day. A trip to my for work has now turned into sitting on your planes all day. Ridiculous,131
6190,negative,Customer Service Issue,Southwest, I'm smashed into a window by the giant guest sitting next to me. #4386. No way this guy should have been given 1 seat.,132
11036,negative,Can't Tell,US Airways, No hot food on a 5 hour flight? Crazy. Couldn't eat in PHL b/c our original connection was 40 min Late Flight. What gives? #PHLtoLAS,143
